entrez,GSM304508,GSM304509,GSM304510,GSM304511,GSM304512,GSM304513,GSM304514,GSM304515,GSM304516,GSM304517,GSM304518,GSM304519
GBGT1,0.138245618,0.020544867,-0.192135428,0.317445443,0.375919635,0.07747205,-0.106677819,-0.630733341,-0.113041443,-0.172912509,0.009637056,-0.308145968
STAMBP,-0.335235311,0.055813141,-0.255910152,0.456604389,-0.260949506,0.465412141,-0.630446862,-0.015795435,-0.379341665,-0.058320755,-0.602293745,0.076451416
PKN2,-0.246382878,0.107907798,-0.289331483,0.050947881,-0.403665462,0.29082168,-0.420689789,0.254634209,-0.176391332,-0.026953306,-0.013048713,0.380719292
FLJ25476,-0.213651933,-0.040826262,-0.331194411,-0.092716853,-0.158621426,0.010525643,-0.339233512,-0.080680914,0.036635147,0.042738388,-0.124691219,-0.042556432
KCNJ16,0.398337376,-0.190077991,-0.396755577,-0.270139537,0.250806198,0.139396894,-0.071247924,-0.099304217,-0.002907305,-0.291148083,0.039270731,-0.382411713
THRAP1,0.035518817,-0.315950082,-0.395525696,0.129673205,0.014512472,-0.229929877,-0.283748703,-0.167582562,-0.423350833,-0.528397016,-0.074418611,-0.360670167
OSR1,0.267442574,-0.121388448,-0.367261987,-0.31239711,0.274737138,0.124267712,-0.131240094,-0.641041472,-0.094222543,-0.435615269,-0.055179924,-0.427359887
ACCN5,0.14382702,0.075721885,-0.151269981,-0.137245518,0.283037395,-0.108257663,-0.256723907,-0.372680345,-0.071037718,-0.381821335,-0.041857409,-0.425065847
C2orf28,-0.207911133,-0.221445299,-0.269115593,-0.180025959,-0.052788632,0.054205478,-0.069374857,0.087352075,0.192447784,-0.052546161,0.07695928,0.204166135
TSPAN19,0.16938603,0.217048271,-0.383135181,0.083010818,0.092971789,0.500737894,-0.332743594,-0.422678251,-0.206639812,0.005640855,-0.120510222,-0.18894639
RORC,0.254774281,-0.076862242,-0.07915794,-0.035468197,0.297718369,-0.123473158,-0.283006356,-0.359886042,-0.013800779,-0.26666636,0.114340581,-0.137913477
FLJ32871,0.045551377,0.24650276,-0.328343235,0.253317308,0.421524713,0.387987442,-0.418824465,-0.503884097,-0.240111908,-0.12850228,0.069995553,-0.257603638
