"entrez","fold_increase"
5118,4238.99419868461
4884,3111.61198753308
146325,1983.81545900177
2623,1461.86276904125
90809,1066.27282729739
57406,1057.18061774584
7343,997.124123735738
5493,675.422932565821
57121,669.953574605632
64848,582.377676039391
79173,559.20727577266
164656,545.372233161697
11333,495.999991701554
1282,435.992746009867
55024,424.771197519803
401409,411.525748459915
147429,362.088851225896
79742,316.133068618931
55666,310.973546233657
166378,283.684751798689
949,273.392808425331
353140,269.936153422366
7284,254.601602577906
161497,251.74495328244
284759,235.474298553902
257103,214.390383753866
10092,193.799854893285
220323,193.257358615596
51084,190.35069482176
199720,176.575692941805
28986,175.699250924406
3131,174.94915862494
1045,166.310226870401
84909,165.556570422475
1662,164.824477733573
23216,164.575675275115
9113,154.633114582025
9666,152.483993508317
90665,147.922004235582
83538,146.35887846862
140699,141.895455140239
79879,139.676231304558
117159,132.326747925644
3603,128.564714914033
54726,126.572057443348
24139,124.274927110705
64591,119.731162456871
84276,119.64013490397
57085,114.38294310746
83707,111.917786563287
