sample,title,MCF10a..immortalized..non.transformed.human.mammary.epithelial.cell.line.overexpressing.null.vector
GSM320243,MCF10a_Null_Vector_rep1,
GSM320244,MCF10a_Null_Vector_rep2,
GSM320245,MCF10a_Null_Vector_rep3,
GSM320246,MCF10a_Null_Vector_rep4,
GSM320247,MCF10a_Null_Vector_rep5,
GSM320248,MCF10a_Null_Vector_rep6,
GSM320249,MCF10a_HRas_Vector_rep1,
GSM320250,MCF10a_HRas_Vector_rep2,
GSM320251,MCF10a_HRas_Vector_rep3,
GSM320252,MCF10a_HRas_Vector_rep4,
GSM320253,MCF10a_HRas_Vector_rep5,
GSM320254,MCF10a_MEK1_Vector_rep1,
GSM320255,MCF10a_MEK1_Vector_rep2,
GSM320256,MCF10a_MEK1_Vector_rep3,
GSM320257,MCF10a_MEK1_Vector_rep4,
GSM320258,MCF10a_MEK1_Vector_rep5,
GSM320259,MCF10a_MEK1_Vector_rep6,
