NAME	Description	GSM320249/GSM320243	GSM320250/GSM320244	GSM320251/GSM320245	GSM320252/GSM320246	GSM320253/GSM320247
1007_s_at	NA	0.674742243	0.640247703	0.721683685	0.706124261	0.773983199
1053_at	NA	4.44600497	4.770517005	5.424464396	5.964272809	3.551762151
117_at	NA	1.418065743	1.469781041	0.999247908	1.317831919	1.266703473
121_at	NA	1.604711431	0.899067733	0.941641994	1.625579327	1.299039902
1255_g_at	NA	6.64852391	1.493349664	1.093764953	5.273181325	4.393609959
1294_at	NA	1.977570566	1.533566088	2.300832661	1.493370396	1.412852097
1316_at	NA	1.47508957	1.002155966	1.126173992	1.555576824	1.077848196
1320_at	NA	1.257317396	0.258013263	0.533872333	0.259992565	1.107850985
1405_i_at	NA	1.038541667	1.049908545	0.472366647	3.508208955	0.749904251
1431_at	NA	0.408780004	0.703612242	0.248273518	1.104654266	0.846548225
1438_at	NA	0.04596846	0.037306879	0.090345997	0.217260466	0.120965236
1487_at	NA	0.557363571	0.641160934	0.619840179	0.589001191	0.66166823
1494_f_at	NA	1.7733778	1.113238986	1.832215186	2.214905916	1.504551277
1552256_a_at	NA	0.806979172	0.749132318	1.177917182	0.97818898	1.006196015
1552257_a_at	NA	1.066008188	1.256856579	1.368266513	1.255956371	1.260500584
1552258_at	NA	3.125017455	1.199237755	0.549101998	7.673073227	1.627004668
1552261_at	NA	1.146534349	0.145655182	1.260829	0.247872944	0.388022392
1552263_at	NA	1.414477703	2.101158021	1.612293414	1.271611728	1.595485474
1552264_a_at	NA	1.196772449	1.271208783	1.180917753	1.571347388	1.615226386
1552266_at	NA	2.170354624	1.002753235	2.045273738	0.950813911	8.348225863
1552269_at	NA	0.692276788	7.43339327	1.931635112	3.192079467	0.80276821
1552271_at	NA	1.087853532	1.18647743	1.500187021	1.322268871	0.592412122
1552272_a_at	NA	1.304143327	1.53166968	1.525261161	0.95715334	1.421857903
1552274_at	NA	1.048856602	0.554787383	1.308702049	1.195991986	1.50960598
1552275_s_at	NA	0.398753236	2.470412337	8.266105661	1.668301344	1.286943338
1552276_a_at	NA	0.759134064	0.6704957	6.198095501	0.493818587	0.250165119
1552277_a_at	NA	1.305730802	1.64981369	1.645105957	1.651883656	1.479975044
1552278_a_at	NA	1.00913506	0.610168793	0.759154906	0.859770147	0.907484524
1552279_a_at	NA	0.550864988	0.331255375	0.571077319	0.616623856	0.480348066
1552280_at	NA	1.424755325	0.846946335	0.282626024	3.836388757	2.457664444
1552281_at	NA	1.794445184	1.980410788	1.229812435	2.921208768	1.351385743
1552283_s_at	NA	2.378616877	1.485012722	1.160026544	3.662029506	1.052547362
1552286_at	NA	0.984769657	0.850696583	0.641668361	0.96445917	0.959731711
1552287_s_at	NA	1.21453721	0.818639758	0.817746254	0.881312624	0.959247476
1552288_at	NA	3.820481008	0.664568385	4.691879502	3.417569787	1.692068429
1552289_a_at	NA	1.505244711	0.342931787	0.880127533	7.322329639	0.580684496
1552291_at	NA	2.957701747	2.681168055	1.805523955	2.220108271	2.617024287
1552293_at	NA	4.405271084	2.154433602	0.646400907	2.599034749	3.782714177
1552295_a_at	NA	0.959117494	0.44616878	1.100119666	0.520328673	0.953090346
1552296_at	NA	1.22553535	0.280845144	1.493193193	0.848945409	0.970480226
1552299_at	NA	17.49367139	1.702861712	1.027798477	2.751407192	6.275584889
1552301_a_at	NA	2.104877032	1.416006864	1.069317747	1.874930633	2.058760811
1552302_at	NA	4.267374835	0.102688813	2.300397934	3.82676182	0.579954037
1552303_a_at	NA	27.81389365	2.496706043	2.701718337	7.781021568	7.765716341
1552304_at	NA	3.935844573	1.938553843	0.477810562	0.308925883	1.253960517
1552306_at	NA	1.233833378	1.93154045	1.833577169	0.962096498	1.158741028
1552307_a_at	NA	1.187473382	1.094976908	0.715558138	0.999469099	1.180154806
1552309_a_at	NA	0.424274057	0.168091118	0.533488746	0.478130066	0.382208978
1552310_at	NA	0.604776643	0.617744874	0.793599253	0.647089368	0.69017501
1552311_a_at	NA	2.967236262	2.634016322	1.039077391	1.747255987	1.291428705
1552312_a_at	NA	0.64324931	0.366078811	0.474491825	0.496790761	0.61772641
1552314_a_at	NA	9.216816307	2.829994193	1.163303231	0.98798251	6.24788631
1552315_at	NA	1.378304355	3.153047913	1.483159247	0.446884998	0.184127675
1552316_a_at	NA	0.62054018	0.09177888	0.992125984	0.328962426	0.69109462
1552318_at	NA	0.731561733	1.26618705	0.252754073	1.309814815	0.556410256
1552319_a_at	NA	2.219549143	3.967026275	1.301507397	1.72754311	0.533445392
1552320_a_at	NA	3.871473977	2.755420455	23.19367515	1.382792709	2.345921384
1552321_a_at	NA	4.080691643	0.641244141	4.461835004	0.589600536	1.551901743
1552322_at	NA	0.102741168	2.003941042	7.995802728	0.249850678	0.656407091
1552323_s_at	NA	2.316272895	0.631511203	1.087058517	0.467958206	1.253174203
1552325_at	NA	2.262248097	17.44028103	3.23075188	0.130931814	0.678173242
1552326_a_at	NA	1.618963684	0.658275948	1.97797789	2.787508174	4.559623521
1552327_at	NA	0.644609328	0.129672117	0.88173104	4.943581616	0.236668583
1552329_at	NA	0.74135902	0.52266516	0.796052921	0.583697762	0.718372449
1552330_at	NA	0.473553817	0.78524234	0.799866878	0.576857682	0.727739258
1552332_at	NA	2.373834855	1.93140458	1.766657997	2.156162205	1.919068914
1552334_at	NA	1.017526736	0.450880034	0.551969635	0.670572604	0.628057197
1552335_at	NA	3.119018804	1.324460265	2.804840883	7.155686339	5.285319771
1552337_s_at	NA	8.65404351	2.181493606	1.709180766	2.465296303	12.1598916
1552338_at	NA	7.272780488	5.787878788	5.386285944	12.08473593	5.71018711
1552340_at	NA	1.713194124	0.785724644	1.911679736	0.466013007	1.182015639
1552343_s_at	NA	2.325520681	0.0934012	1.389787564	0.390997879	0.51937358
1552344_s_at	NA	1.238327075	0.957348812	0.896477091	1.191151336	1.496934452
1552347_at	NA	0.923433138	0.734619117	0.619765341	0.536958568	0.5428479
1552348_at	NA	0.768029641	0.33516993	1.302232289	1.002992078	1.208210968
1552349_a_at	NA	0.933177362	1.913398554	1.384814259	8.157313707	1.513119534
1552354_at	NA	1.415915916	2.07531008	1.055714369	2.231411229	1.195293522
1552355_s_at	NA	8.752994012	3.539279894	0.807709608	2.222007361	0.656196384
1552359_at	NA	0.706406845	5.749212141	23.7350326	31.67171053	1.102775369
1552360_a_at	NA	0.876277545	1.048838394	0.629468057	0.444724769	0.809561826
1552362_a_at	NA	1.530554343	0.534715757	0.828689764	2.385270717	0.81746776
1552364_s_at	NA	0.224208213	0.572691286	0.560192994	0.700025144	0.569912183
1552365_at	NA	7.094382487	13.06574074	1.967312533	34.94653706	2.117213323
1552367_a_at	NA	10.55811656	1.162200172	4.022692559	5.455782313	0.341772152
1552368_at	NA	4.709988042	1.70944847	9.846530113	11.88411358	9.356150283
1552370_at	NA	0.642953709	1.125890899	1.039145496	0.815269928	0.550954632
1552372_at	NA	5.14571949	8.32412523	1.483163378	3.829573935	0.463363573
1552373_s_at	NA	1.546137079	0.897777778	0.758984131	5.292726508	3.676538908
1552375_at	NA	1.522358593	0.685291752	0.302150205	0.56125572	1.109375515
1552377_s_at	NA	1.526429761	0.993436756	0.788830199	1.154739853	0.915180226
1552378_s_at	NA	1.09320413	0.563891546	1.058488804	0.57928737	0.779149614
1552379_at	NA	2.591516828	0.117372859	1.166264479	3.184662752	0.176143877
1552381_at	NA	0.657444754	2.798633702	2.572897949	3.717743254	3.510433387
1552383_at	NA	7.203867048	2.586701476	2.122334169	4.636717417	1.701617156
1552384_a_at	NA	20.8266259	6.509335271	15.46063671	3.45814177	7.882567098
1552386_at	NA	19.87987988	1.755666418	0.861514979	3.471843724	0.168216613
1552388_at	NA	0.696913531	1.025731822	1.377107524	1.093761499	0.802682612
1552389_at	NA	10.50255288	23.88925951	6.217770655	11.80668447	15.55067243
