Names	total	elements
GSE12059 GSE12764	3	6005
		26716
		25791
GSE12059 GSE50911	8	64319
		438
		168433
		51307
		4005
		91768
		196483
		5460
GSE115406 GSE12059	2	286
		9462
GSE12764 GSE50911	3	65986
		2528
		100130609
GSE115406 GSE12764	3	9068
		57221
		4589
GSE115406 GSE50911	1	64067
GSE12059	237	10456
		10309
		4338
		58533
		7866
		4893
		10592
		57403
		8089
		51545
		79026
		4624
		3008
		220972
		9783
		219927
		80328
		627
		55109
		10274
		10112
		390078
		56986
		83607
		9824
		5147
		23616
		8564
		26589
		2941
		252839
		80063
		163126
		1022
		84684
		5529
		39
		50486
		23335
		119749
		60401
		824
		2974
		10075
		54934
		7142
		50808
		124599
		57657
		442867
		55239
		5475
		22835
		7767
		3685
		8174
		55196
		8153
		4173
		81850
		79874
		5034
		4674
		83479
		54952
		9978
		868
		7047
		54916
		90441
		1803
		1746
		860
		427
		92912
		149563
		55783
		7507
		3700
		8778
		8940
		7016
		10892
		9753
		5151
		10458
		10063
		168537
		85395
		79038
		57018
		9441
		55037
		55472
		2760
		84148
		147965
		27235
		8190
		80301
		94056
		4326
		57190
		2774
		79677
		64768
		278
		10741
		51143
		5905
		9111
		127124
		57097
		6150
		90
		51190
		2693
		4194
		377841
		3400
		54960
		283385
		79576
		6434
		23660
		5257
		665
		10972
		90850
		23586
		55119
		8970
		6698
		56339
		4858
		8346
		28989
		4716
		747
		22978
		1602
		79157
		5362
		29949
		1960
		54509
		9073
		54386
		3434
		120534
		9698
		10299
		646257
		27436
		3669
		143379
		2128
		85464
		10215
		5081
		119392
		10598
		64708
		390436
		777
		128061
		9146
		5203
		2906
		158131
		8663
		84230
		9765
		84847
		3142
		10393
		7748
		80790
		84320
		9262
		7179
		64582
		6607
		10795
		8484
		9863
		170679
		79863
		284716
		5900
		51593
		84312
		79608
		2569
		51085
		220074
		64077
		6668
		10591
		115817
		6329
		140838
		51123
		152110
		54879
		4084
		200350
		54806
		84987
		54407
		54566
		23360
		23099
		57194
		57486
		4111
		1616
		122664
		8874
		64949
		29044
		56886
		29889
		9258
		403
		3799
		84674
		78986
		4678
		84645
		9125
		3106
		390
		257144
		50674
		83940
		3567
GSE12764	241	127
		8563
		8516
		9666
		6777
		23566
		375567
		219736
		8665
		284369
		25770
		90557
		2706
		56256
		3537
		5577
		2160
		51666
		100505893
		152002
		286059
		571
		101927581
		132954
		85460
		57379
		84826
		84305
		653548
		4902
		253017
		6456
		4066
		5741
		5607
		3763
		9451
		84690
		84553
		1356
		55275
		54331
		8318
		100506013
		26996
		6300
		203238
		2584
		26586
		114792
		116442
		11320
		54058
		342184
		6641
		168544
		57560
		213
		2244
		401097
		83690
		64753
		23321
		5449
		10859
		51224
		6010
		1977
		2115
		80862
		6512
		1161
		1442
		100506844
		56956
		10656
		100291626
		29761
		84867
		101929341
		5069
		54626
		114898
		4499
		3211
		51384
		55711
		653545
		23609
		56896
		11001
		8840
		257194
		100128782
		340107
		100505741
		55349
		100996843
		642426
		26583
		100862679
		11151
		124773
		401233
		26191
		64850
		9051
		29958
		84433
		29940
		57482
		440416
		3451
		150726
		10395
		5157
		28823
		26664
		221981
		101929284
		101927826
		113540
		6546
		9085
		6498
		2689
		653544
		193629
		11085
		117289
		10750
		100507399
		652301
		6334
		100419743
		100507537
		6561
		91179
		23554
		93010
		4241
		10800
		8630
		51555
		157753
		27125
		3546
		27134
		22947
		1378
		399693
		93034
		157739
		101930476
		285513
		100859921
		340206
		28831
		100506679
		101926960
		374887
		284424
		653543
		26251
		81033
		252884
		112398
		100526794
		145873
		114757
		441056
		90668
		57153
		2558
		2786
		7545
		9526
		285965
		1379
		3779
		283392
		643332
		23475
		127343
		27074
		146279
		3177
		23024
		9358
		91409
		202299
		284
		27324
		390035
		814
		283070
		23239
		2688
		186
		100288289
		8706
		100507634
		6492
		101928273
		9506
		127602
		57597
		401134
		114786
		1769
		100379661
		101927934
		4016
		85360
		57628
		1444
		167410
		390963
		728410
		23129
		10098
		5764
		55466
		55344
		7903
		151242
		285441
		64805
		93463
		102723449
		10911
		100288687
		157503
		23135
		282775
		23186
		147685
		79623
		64757
		10003
		3265
GSE50911	238	2898
		7161
		441631
		1387
		23233
		60528
		23410
		388962
		9282
		5428
		5875
		6137
		56165
		55888
		79068
		51631
		80309
		10526
		8208
		9807
		6775
		117854
		10150
		10507
		1025
		1015
		10990
		3116
		9440
		27238
		59271
		4430
		22879
		390284
		79413
		11063
		27319
		6337
		6764
		4323
		165186
		55615
		23157
		50616
		260425
		3565
		51447
		154664
		51319
		23120
		81857
		57633
		283459
		144195
		5806
		55153
		127428
		2205
		100128588
		392138
		11014
		5788
		5230
		64231
		7494
		154386
		285605
		55811
		9820
		124936
		9537
		3552
		92345
		80230
		2012
		161
		26093
		7099
		64600
		54965
		4234
