Names	total	elements
GSE115406 GSE12059 GSE12764	33	775
		84867
		427
		29797
		2044
		3763
		4477
		4848
		4589
		79742
		112398
		255057
		80274
		5788
		7037
		2128
		160419
		3676
		29958
		55366
		7544
		51085
		117584
		23629
		143686
		7490
		54538
		4173
		63027
		25959
		23586
		51454
		4312
GSE12059 GSE12764	103	10220
		286499
		10075
		7634
		168537
		7054
		83591
		10016
		57118
		220108
		11168
		126393
		5442
		64478
		3687
		79776
		3117
		25791
		152002
		28965
		128853
		57082
		10788
		341880
		51144
		55301
		55117
		777
		51710
		119
		8370
		146057
		4619
		130589
		941
		26716
		6561
		152185
		7368
		64927
		114822
		6329
		4745
		1674
		55867
		4982
		55897
		254187
		55349
		1005
		8970
		51540
		5156
		3434
		51804
		2906
		90993
		65986
		6535
		84305
		10211
		64921
		9066
		11103
		55472
		25879
		80008
		8208
		11013
		8928
		8986
		56341
		6927
		26338
		79026
		57679
		417
		92806
		57460
		89866
		6005
		414328
		23708
		4858
		57728
		9813
		23731
		51659
		6476
		26261
		84449
		3018
		5498
		2693
		55010
		10750
		1264
		54675
		2016
		10746
		4162
		55344
		27296
GSE115406 GSE12059	135	4340
		4319
		51206
		121273
		678
		1901
		8190
		23365
		112770
		6281
		84734
		10938
		114134
		64180
		283537
		6658
		122664
		3430
		84674
		84253
		22829
		85363
		7039
		9200
		57804
		5313
		6337
		140688
		4669
		1435
		118424
		9317
		9462
		146183
		5914
		3269
		9248
		29800
		80328
		7045
		7504
		25928
		11007
		130560
		115704
		64770
		57591
		8013
		134492
		222611
		10317
		23576
		7535
		55806
		27443
		646627
		6251
		9028
		348158
		126969
		3744
		23335
		3257
		54742
		394
		7849
		7348
		50863
		11245
		152110
		64084
		257144
		30834
		137196
		23133
		860
		9753
		50488
		79365
		89884
		8812
		148113
		54861
		10761
		5635
		10418
		11211
		54566
		84072
		5611
		116840
		55958
		84959
		2246
		57611
		10123
		64582
		54716
		51593
		64116
		30813
		7378
		23348
		3732
		7172
		2199
		80325
		9086
		4654
		144406
		10501
		285126
		4524
		84631
		8814
		3674
		51326
		26206
		5645
		84570
		90480
		64799
		286
		800
		2902
		399979
		58499
		124912
		57175
		65109
		2760
		10512
		92949
		2248
		80709
GSE115406 GSE12764	371	1638
		286749
		101927581
		3824
		57338
		151790
		2350
		118932
		54414
		142940
		23544
		100291626
		3559
		2814
		3211
		3500
		27063
		387923
		56099
		57221
		26531
		64388
		8701
		219595
		3963
		79370
		8528
		653544
		652301
		64216
		118856
		4242
		130271
		9914
		441461
		440
		26228
		8001
		4058
		2911
		305
		139420
		100529207
		541471
		100628315
		8654
		1030
		116444
		23186
		6236
		147323
		400027
		4329
		151760
		23363
		7222
		284352
		6344
		3937
		57139
		7021
		254042
		129293
		89869
		7042
		50615
		2775
		9437
		3909
		3216
		121601
		6670
		646074
		23430
		23609
		389161
		100996843
		462
		6656
		4648
		283078
		57718
		3514
		11174
		11036
		93010
		27125
		29930
		8703
		100130581
		124565
		114884
		1379
		22905
		6967
		7710
		127733
		404744
		2691
