Names	total	elements
GSE115406 GSE12764 GSE50911	29	"GULP1"
		"EIF4E"
		"GRIK2"
		"DAB2"
		"ETV5"
		"CXorf36"
		"NPAS3"
		"GNAO1"
		"TFRC"
		"ABI3BP"
		"DCT"
		"PCDH11X"
		"ANO1"
		"ITGB1"
		"SPAG6"
		"CD44"
		"FGL2"
		"ROBO4"
		"PRLR"
		"ENAM"
		"MS4A6A"
		"KANK2"
		"FLT4"
		"GLRA3"
		"SORBS1"
		"CRYBA2"
		"C1orf86"
		"PTPRC"
		"SRC"
GSE12764 GSE50911	101	"WNT6"
		"MYO18B"
		"CFTR"
		"MYH7B"
		"TOX"
		"CCL20"
		"GK"
		"ZBTB10"
		"ZNF44"
		"IL2"
		"COL14A1"
		"APOE"
		"TRPM6"
		"HIST1H4K"
		"DZIP3"
		"MPHOSPH8"
		"ESR1"
		"PCDHB13"
		"IRF4"
		"PPM1E"
		"CYP2D6"
		"SPAG16"
		"RARS2"
		"IGF1"
		"PKD1L1"
		"MCM6"
		"C6orf10"
		"SLC22A11"
		"HUS1B"
		"LRRC34"
		"PGM5"
		"BCL2A1"
		"CD27"
		"C8orf4"
		"ADAM22"
		"PREX1"
		"HIST1H3I"
		"AICDA"
		"PP12708"
		"DES"
		"RPS6KA4"
		"CCL18"
		"FLT3LG"
		"GABRA2"
		"KCNMB1"
		"SYNJ2"
		"RRM2"
		"PTPRO"
		"TFEC"
		"IL22"
		"DPYSL3"
		"DOCK10"
		"FAM46D"
		"ZIC1"
		"CR1"
		"ATP6V1C2"
		"ZFHX4"
		"CASK"
		"TLR9"
		"CHAF1B"
		"MDN1"
		"DPYSL5"
		"PRIM2"
		"LOC400590"
		"NOS1"
		"ZFP42"
		"TNFRSF11B"
		"PLN"
		"CTCFL"
		"GALNT14"
		"HEPACAM"
		"C1QTNF7"
		"LOC100131053"
		"RGS13"
		"FEZF2"
		"IQCA1"
		"NUDT9P1"
		"FAM132A"
		"GABRA5"
		"AHNAK"
		"ABCA13"
		"PPIA"
		"HES6"
		"MVK"
		"C4orf17"
		"HRAS"
		"CENPK"
		"CDK2"
		"ITGB2"
		"FUT6"
		"TJP3"
		"GRIA3"
		"CTRB2"
		"RHO"
		"CCDC28B"
		"PDZRN3"
		"STMN3"
		"TLK1"
		"IL4"
		"CADM2"
		"MBP"
GSE115406 GSE50911	118	"MCOLN2"
		"PPP1R11"
		"GRB10"
		"MBD6"
		"MYC"
		"ADAMTSL2"
		"B3GNT6"
		"BMX"
		"CTNNA3"
		"RAB43"
		"FGF1"
		"GPLD1"
		"ZFP41"
		"IL1A"
		"FFAR2"
		"EFCAB1"
		"SNRK"
		"NCAM1"
		"SPHKAP"
		"CDH12"
		"C3orf52"
		"SUSD4"
		"JAK3"
		"COL25A1"
		"DNAI2"
		"PYHIN1"
		"SETD7"
		"ARHGAP19"
		"MFAP3L"
		"C7orf13"
		"PLG"
		"ZFYVE28"
		"TTLL3"
		"NF2"
		"ZNF70"
		"PTGDR"
		"SLC12A8"
		"RPS9"
		"MICAL2"
		"RUFY1"
		"SCNN1A"
		"CD200"
		"TRIML1"
		"EDN1"
		"CASZ1"
		"KCNA7"
		"TEP1"
		"S100A11"
		"DENND1B"
		"NT5E"
		"SP140L"
		"RERGL"
		"BHLHE22"
		"EPOR"
		"PDZD3"
		"RORB"
		"PIP5KL1"
		"FGF5"
		"FLCN"
		"NRP1"
		"CSNK1G3"
		"SERPINB13"
		"GCNT1"
		"MTHFR"
		"MPP7"
		"CST11"
		"ATP11B"
		"DST"
		"NLRC4"
		"WDR66"
		"RXFP3"
		"SLC22A2"
		"ERC2"
		"WFDC8"
		"VDR"
		"TLR4"
		"WDR44"
		"GJB5"
		"SPTB"
		"SNX19"
		"CYLD"
		"SPP2"
		"PTPLA"
		"CAV2"
		"TNK1"
		"SLC25A28"
		"HYDIN"
		"ARHGAP26"
		"FBP2"
		"TBX18"
		"LRRC25"
		"HECW2"
		"ZFP36L2"
		"NFKB2"
		"LGALS8"
		"TMBIM1"
		"RPL3L"
		"KLHDC8A"
		"ENTPD6"
		"COG6"
		"TMPRSS2"
		"HNF4A"
		"SPATA13"
		"GHRL"
		"COL27A1"
		"ZNF599"
		"SYT9"
		"GPR50"
		"HRK"
		"ZFP2"
		"IL9"
		"CCDC26"
		"EHD1"
		"HSD17B1"
		"KIAA1045"
		"CCDC134"
		"C6orf195"
		"IFT122"
GSE115406 GSE12764	344	"LGALS7"
		"ACSL6"
		"WNK4"
		"KLRD1"
		"GRM5"
		"CEACAM7"
		"CNPY1"
		"SESN3"
		"CGB1"
		"RP1-28O17.1"
		"TMEM106A"
		"ZNF818P"
		"RP6-91H8.2"
		"ANKRD22"
		"AKR1C1"
		"GHRH"
		"ZNF208"
		"SCTR"
		"TRGV9"
		"TMCC1"
		"LOC100128554"
		"CR1L"
		"SSTR1"
		"SSH1"
		"C12orf50"
		"LGR4"
		"ANO4"
		"KERA"
		"GP5"
		"ERG"
		"TTC22"
		"NPSR1-AS1"
		"NFATC2"
		"HAPLN1"
		"RCOR1"
		"MYOCD"
		"PRDM15"
		"C21orf2"
		"IGLV1-50"
		"ACE"
		"DUX4"
		"LOC340178"
		"DUX4L24"
		"LOC100288289"
		"CXCR6"
		"MYO7B"
		"LOC652301"
		"ASAH1"
		"EPHA1-AS1"
		"HOXB-AS3"
		"TTTY7B"
		"UTS2"
		"DUX4L7"
		"SP3"
		"FOLR2"
		"BC040886"
		"CDON"
		"SMEK3P"
		"GYPA"
		"RGL3"
		"GTF2A1L"
		"PCDHGB7"
		"NMBR"
		"TPSD1"
		"CHRM3"
		"SOGA3"
		"POM121L9P"
		"SUN5"
		"IGLV1-44"
		"EPN2-IT1"
		"PPP4R4"
		"IGH"
		"RAD51L3-RFFL"
		"MLXIPL"
		"ANKUB1"
		"FOLH1B"
		"DEFB119"
		"ORM1"
		"GRM1"
		"PLSCR2"
		"ATP2C2"
		"SERP2"
		"LOC100506272"
		"SLC22A23"
		"B3GNT7"
		"LOC100130458"
		"TRUB1"
		"SLC19A1"
		"DEPTOR"
		"IGHA1"
		"MS4A1"
		"CRTAM"
		"ANKRD1"
		"IGHA2"
		"FCRL2"
		"ZAN"
		"WT1"
		"SIAE"
		"LOC101928269"
		"IGHV3-23"
		"LINC00937"
		"EPHB1"
		"LOC102723645"
		"FGFR4"
		"IGLJ3"
		"ANGPTL1"
		"KIAA1244"
		"DBET"
		"FBXO41"
		"LOC151760"
		"TCTE3"
		"DNAH6"
		"GPRIN3"
		"CHST13"
		"PTPRB"
		"C19orf26"
		"IGHG1"
		"HOXB1"
		"KCNH6"
		"MPZL3"
		"ITGA4"
		"RP11-495K9.3"
		"CNOT2"
		"LOC101928457"
		"EPYC"
		"PIF1"
		"PLEKHH2"
		"RUNX1"
		"ALDOB"
		"SOX1"
		"DDO"
		"MFNG"
		"PNLIPRP1"
		"XAGE3"
		"QKI"
		"KLK12"
		"OR5H1"
		"CAPS"
		"MUC13"
		"TFAP2B"
		"TTTY7"
		"IL21R"
		"EVX1"
		"TLDC1"
		"LOC100506047"
		"MKRN2"
		"DUX4L1"
		"PCDH11Y"
		"LOC101926921"
		"SHISA7"
		"DUX4L6"
		"DUX4L4"
		"TSPAN12"
		"CCDC182"
		"MKX"
		"LHX2"
		"C22orf34"
		"SYK"
		"IGKC"
		"ZNF131"
		"FLJ37035"
		"PIK3AP1"
		"LCP2"
		"NPAS1"
		"RAG2"
		"ACSM2A"
		"PECAM1"
		"SIRPG"
		"LOC100291626"
		"METAP1D"
		"DLGAP1"
		"TRPM1"
		"DGKB"
		"FLJ22763"
		"SLC22A7"
		"GSX1"
		"CALCRL"
		"KCNJ6"
		"LOC100996843"
		"EPN2"
		"BPIFB2"
		"POM121L10P"
		"ASNS"
		"KIAA0408"
		"TARP"
		"LINC00837"
		"ZFP57"
		"ALDH6A1"
		"IL2RA"
		"DUX4L2"
		"MAATS1"
		"MROH8"
		"GATM"
		"WDR49"
		"LINC01085"
		"ZNF674"
		"TNK2"
		"GS1-18A18.2"
		"DMGDH"
		"LGALS7B"
		"GH1"
		"MMP1"
		"DUX4L3"
		"RP4-539M6.14"
		"FGF16"
		"SIGLEC8"
		"NUDT4"
		"FGB"
		"EBI3"
		"TBX5"
		"DNM3OS"
		"OR1C1"
		"PPP1R37"
		"ITPKB"
		"CD84"
		"LOC646743"
		"KCNIP3"
		"VIL1"
		"UBXN10"
