Names	total	elements
GSE115406 GSE46806 GSE55942	45	4340
		10611
		3552
		51471
		2202
		55619
		55636
		56112
		114884
		51710
		861
		8549
		84168
		8935
		771
		6492
		54898
		5371
		7849
		3778
		10634
		23328
		5144
		101928269
		54566
		23264
		7881
		960
		1013
		7421
		10123
		1956
		23348
		8718
		9086
		23275
		8829
		7855
		3077
		25959
		100506403
		10474
		27445
		23150
		5098
GSE115406 GSE46806	98	23048
		558
		678
		51032
		56099
		23365
		54872
		29763
		65982
		80148
		7262
		23093
		5270
		7073
		28984
		4329
		4862
		3975
		28996
		3216
		404636
		1540
		23317
		9781
		54758
		8703
		9612
		6397
		92482
		55890
		9209
		9711
		3269
		27181
		2047
		4345
		29919
		9518
		3280
		729515
		116985
		112398
		64689
		8706
		23075
		6672
		23335
		3257
		2184
		79096
		50863
		23164
		22891
		23097
		6693
		4059
		116496
		7052
		101927137
		4772
		79365
		89795
		54861
		2119
		9580
		10580
		8651
		4026
		23329
		6515
		2588
		54453
		23037
		79026
		80216
		1778
		10475
		55323
		54521
		3294
		10435
		51334
		1848
		54103
		10807
		7035
		5580
		23304
		22848
		200316
		57707
		57175
		1452
		8710
		11145
		1742
		955
		9567
GSE115406 GSE55942	309	728
		80099
		25854
		8913
		51338
		10083
		4613
		2099
		64446
		3500
		3170
		5288
		3963
		79370
		1550
		2533
		649
		6480
		9849
		8076
		8001
		2911
		11184
		711
		4978
		50939
		1179
		23066
		6658
		6711
		9332
		4791
		22798
		3283
		1030
		763
		3430
		23349
		23604
		5818
		90634
		51778
		27004
		4629
		100133121
		2212
		7222
		284352
		5313
		84059
		7021
		58189
		5275
		10107
		9437
		525
		6569
		50508
		40
		8038
		1437
		22802
		100293211
		3514
		245812
		4199
		11338
		100996492
		8477
		56163
		148
		55966
		6967
		345
		10362
		29774
		7223
		5949
		1620
		116986
		10960
		10864
		3502
		23630
		5208
		953
		8013
		2220
		2528
		5322
		28755
		2243
		1087
		2905
		4301
		54463
		23601
		7366
		24141
		4848
		8817
		4589
		6194
		4070
		9576
		57644
		886
		100289255
		11081
		54810
		125
		1188
		6504
		29924
		186
		1551
		64856
		6002
		3503
		348158
		3537
		10089
		50838
		8418
		5788
		2244
		123876
		3806
		677
		10060
		79092
		2633
		81693
		56062
		3578
		3688
		489
		9745
		8837
		2057
		7348
		29780
		11095
		3375
		2906
		57835
		8714
		100861540
		10214
		158586
		1444
		100132285
		6819
		5552
		64084
		6527
		834
		10570
		6444
		4604
		3802
		9260
		160313
		50802
		55260
		1442
		860
		9753
		150160
		149076
		4880
		64816
		3812
		6347
		28823
		339005
		2972
		5320
		653499
		552
		5676
		229
		4842
		79890
		11156
		196740
		10110
		7782
		440253
		1805
		57185
		64581
		3174
		55243
		3484
		2161
		51666
		1654
		5950
		3494
		3803
		28517
		27328
		28396
		374286
		213
		2863
		28442
		53919
		28738
		11025
		3507
		5733
		4915
		10730
		100129271
		9444
		3804
		2638
		30000
		1953
		1571
		8115
		1593
		58530
		64582
		8942
		5075
		228
		3495
		10332
		3081
		7757
		10148
		3557
		4308
		54346
		1544
		7429
		2898
		26053
		10411
		8822
		3752
		3887
		7177
		6983
		2330
		100526833
		1814
		5340
		3002
		3690
		8927
		11278
		26584
		9496
		1559
		57556
		182
		3809
		60676
		250
		23053
		57805
		4524
		50940
		55018
		4069
		3492
		51208
		25890
		2688
		6677
		3674
		64067
		4112
		3811
		50937
		2899
		5729
		286
		800
		1365
		1807
		80342
		8840
		83259
		251
		2257
		22996
		445347
		492
		208
		3493
		28663
		786
		5396
		81033
		2268
		57823
		100132948
		23305
		10446
		1043
		2248
		259215
		88
		348035
GSE46806 GSE55942	158	57104
		4863
		11280
		4209
		26013
		100033416
		79874
		20
		55508
		9955
		57144
		10844
		6874
		4287
		5696
		23312
		2824
		19
		3487
		100033433
		23363
		8202
		5607
		3653
		5463
		644
		10326
		101060181
		57082
		23452
		6939
		6009
		3423
		3553
		83700
		282997
		51750
		23228
		2531
		8707
		2122
		100996724
		100996761
		84525
		23208
		6453
		7456
		2290
		6303
		201895
		646
		5654
		10217
		50618
		101930404
		23641
		1397
		3481
		56100
		10299
		1756
		7078
		57212
		653808
		2123
		1896
		6638
		347746
		100033444
		6781
		23302
		4982
		728392
		50810
		1746
		6925
		3679
		1200
		100533107
		57172
		6422
		8504
		3910
		100033802
		339166
		51309
		64344
		10211
		7084
		157922
		7879
		57787
		84679
		375449
		101929792
		3669
		5829
		1730
		317
		1291
		290
		81553
		11116
		5252
		101930416
		2825
		60528
		653
		4071
		23331
		5334
		55799
		6645
		723961
		84656
		4968
		9358
		23239
		114548
		57154
		28986
		53918
		889
		9447
		81875
		4211
		5806
		9659
		27122
		28971
		56105
		22898
		100033820
		50649
		1116
		2869
		894
		59348
		23338
		116372
		667
		7980
		100033450
		347733
		400451
		8924
		10630
		10726
		868
		91380
		5999
		8926
		79144
		6785
		4148
		64123
		10499
		3567
GSE115406	1548	7652
		56243
		400128
		6459
		1785
		284001
		117157
		85445
		3957
		100288432
		1638
		101928716
		350
		283693
		100507300
		352999
		825
		101927581
		3889
		101928429
		57379
		114819
		84077
		4319
		148824
		440503
		100289092
		200403
		51206
		266629
		102725315
		8789
		100129583
		151790
		51751
		148641
		638
		85371
		5554
		400581
		79132
		121273
		1991
		101927641
		8711
		118932
		283314
		122651
		51213
		100291626
		432
		57524
		5349
		257177
		101927620
		2814
		100507043
		166979
		3211
		442444
		140689
		401145
		728264
		101929373
		146059
		7123
		100268168
		2250
		10578
		359
		170961
		55036
		23514
		6997
		22987
		256815
		400958
		387923
		101060004
		8190
		28981
		100131816
		101928314
		100996583
		56955
		2774
		55784
		340481
		93986
		144402
		150538
		79645
		1843
		407047
		140875
		102724611
		22931
		128611
		11272
		203286
		554201
		202500
		399669
		100852408
		157927
		84569
		653544
		23119
		8793
		652301
		338799
		118856
		89849
		4609
		776
		94120
		284576
		343990
		85009
		412
		22936
		375346
		285736
		441454
		101930593
		130271
		100499467
		84696
		22980
		10345
		29984
		9914
		100996579
		440
		101926890
		25984
		152206
		56477
		27115
		286144
		387707
		563
		259240
		4058
		100652856
		79846
		5961
		305
		101929384
		100996760
		10451
		84203
		8509
		347088
		55690
		101930373
		5150
		283953
		100631383
		1791
		114134
		55997
		541471
		255488
		56478
		400512
		100529240
		100507266
		339779
		100131997
		10811
		317716
		64180
		388533
		286370
		8654
		168455
		2103
		102725383
		57604
		30811
		26257
		100506451
		100132731
		63036
		3687
		171558
		4597
		6404
		6310
		101927416
		257106
		26148
		122664
		4798
		8874
		25812
		54490
		5948
		3761
		266811
		116444
		84674
		7169
		23186
		114038
		727983
		6532
		408
		160065
		85363
		100505498
		9200
		147323
		5502
		135932
		192134
		102723600
		101927498
		57569
		84034
		6694
		203062
		940
		5294
		6344
		3937
		100507143
		353514
		166824
		399818
		9127
		5874
		441024
		114299
		57139
		192668
		56833
		254042
		1473
		129293
		197335
		101930541
		140688
		89869
		7042
		10221
		6998
		9283
		2775
		114879
		100526693
		161145
		148046
		3909
		7503
		6670
		646074
		9848
		26140
		23430
		4669
		29947
		91661
		650
		11092
		100131434
		339044
		6539
		1435
		153811
		128178
		129684
		84002
		29797
		414
		55334
		5919
		282980
		118424
		6656
		161725
		26776
		9175
		4320
		339390
		2044
		7547
		319089
		1740
		102725382
		121643
		57718
		7401
		1360
		101928790
		116412
		23526
		160428
		100506527
		83881
		114825
		90288
		102724165
		9532
		5581
		101927176
		642924
		93010
		101929552
		253264
		27125
		57526
		143630
		114780
		1839
		9462
		680
		7173
		9866
		3716
		7307
		29930
		100130581
		9058
		10842
		375612
		199713
		729224
		348751
		6470
		124925
		388939
		1379
		135892
		101927196
		206338
		2703
		283600
		57496
		728137
		153745
		283080
		28983
		5141
		23286
		952
		2691
		6758
		146183
		25822
		406970
		168975
		23230
		79047
		285527
		83694
		134548
		5914
		9027
		100133036
		439951
		5199
		199990
		64109
		339122
		7399
		4050
		222487
		10093
		2793
		729296
		100507534
		51442
		55796
		53831
