Names	total	elements
GSE40349 GSE46806 GSE55942	42	4863
		100033416
		5696
		2824
		100033433
		23363
		3653
		57082
		2202
		55619
		282997
		23228
		201895
		10217
		101930404
		3481
		771
		2123
		6638
		347746
		100033444
		54898
		728392
		50810
		100033802
		5144
		3669
		1730
		653
		5334
		723961
		10123
		53918
		100033820
		8829
		1116
		7855
		100033450
		91380
		6785
		4148
		10499
GSE40349 GSE46806	203	5810
		8850
		9126
		5873
		730101
		8321
		2710
		55900
		8848
		222161
		1486
		26031
		114327
		8661
		8847
		23432
		8642
		100129482
		4664
		54799
		5934
		10681
		23093
		3832
		5270
		22998
		9352
		55719
		23047
		7019
		4329
		1854
		835
		54982
		23682
		79968
		2273
		2115
		80205
		80757
		1809
		23421
		5423
		4288
		10426
		7181
		94239
		23015
		55667
		23469
		3652
		92482
		9656
		10006
		5723
		406948
		3706
		6594
		152006
		9747
		8726
		3696
		55215
		55816
		10198
		80204
		286527
		5290
		10724
		4781
		9306
		3710
		9962
		8706
		5985
		10157
		805
		64167
		5094
		6595
		9768
		348110
		6672
		26037
		9702
		7738
		2012
		219333
		8612
		6372
		11082
		55680
		54148
		58487
		4155
		24149
		374
		6683
		4891
		51427
		23389
		26227
		11118
		653188
		54806
		11042
		3092
		6616
		10402
		9077
		22841
		116496
		101927137
		604
		7857
		5569
		23036
		55326
		79663
		9056
		81545
		5558
		10234
		79582
		79469
		3298
		7220
		3556
		808
		10791
		221037
		10580
		9258
		597
		54520
		5744
		65987
		57001
		11013
		6526
		4670
		6474
		7840
		26118
		7130
		79685
		10622
		1806
		63920
		55274
		23531
		831
		100505494
		80025
		596
		11039
		8760
		9743
		6674
		101928274
		54918
		23589
		25758
		55222
		23446
		57711
		79366
		55103
		801
		3070
		79659
		9331
		80006
		7035
		1978
		2026
		28951
		63933
		4338
		220
		79733
		5601
		5357
		23304
		200316
		5189
		26040
		117178
		347902
		5151
		4053
		55769
		1326
		1452
		2713
		55691
		100532726
		2585
		7776
		10276
		474170
		100294033
		54621
GSE40349 GSE55942	165	55089
		100127886
		1617
		6490
		8364
		26108
		29781
		25840
		23066
		22837
		6711
		3430
		4883
		100271927
		7222
		6863
		121504
		4065
		8120
		1910
		50508
		25780
		8363
		1437
		56311
		23111
		11178
		55335
		8359
		3672
		18
		101930322
		79640
		3776
		2572
		8743
		11213
		84159
		8370
		8362
		7225
		6383
		729966
		54843
		6317
		8828
		27065
		6561
		9365
		6999
		731
		1551
		10439
		85352
		6002
		8361
		22918
		8418
		715
		10278
		1618
		4317
		4193
		5143
		3688
		489
		9699
		3434
		29068
		8714
		100861540
		554313
		5552
		23598
		57135
		9282
		834
		5251
		4811
		8968
		9753
		961
		9635
		2321
		1579
		9729
		6347
		8522
		51752
		196740
		23530
		57054
		8368
		79870
		8294
		5764
		6354
		64581
		55243
		5950
		22890
		1821
		9378
		80830
		9936
		10156
		1004
		22873
		7805
		10468
		51741
		6355
		8367
		2618
		8556
		26053
		1031
		5918
		4321
		9890
		1576
		3908
		9037
		2192
		4023
		8366
		9079
		727
		255403
		2619
		64135
		1634
		3490
		2562
		26032
		25890
		101929336
		8436
		5649
		55183
		3357
		95681
		4897
		800
		10561
		81606
		80020
		718
		1295
		79899
		8840
		51313
		3371
		100526664
		8365
		368
		26033
		441204
		57055
		6318
		26471
		1281
		5396
		6414
		8360
GSE46806 GSE55942	161	57104
		4340
		11280
		10611
		4209
		26013
		3552
		79874
		20
		55508
		9955
		57144
		10844
		6874
		4287
		23312
		19
		3487
		8202
		5607
		51471
		5463
		644
		10326
		101060181
		23452
		6939
		6009
		3423
		3553
		83700
		51750
		2531
		8707
		2122
		100996724
		100996761
		55636
		56112
		84525
		23208
		114884
		6453
		7456
		51710
		861
		2290
		6303
		646
		5654
		50618
		23641
		1397
		8549
		84168
		56100
		10299
		1756
		7078
		8935
		57212
		6492
		653808
		1896
		6781
		23302
		4982
