Names	total	elements
GSE40349 GSE46806 GSE55942	1	2202
GSE40349 GSE46806	15	8321
		9077
		4664
		3070
		7220
		771
		8706
		22998
		221037
		10580
		5744
		220
		54898
		2012
		1809
GSE40349 GSE55942	30	8370
		8362
		9890
		961
		6317
		9635
		4023
		8366
		727
		64135
		8364
		8368
		2824
		8294
		6354
		8361
		121504
		4065
		10561
		9936
		8363
		100526664
		1004
		8365
		8359
		4148
		6355
		554313
		8367
		8360
GSE115406 GSE40349	11	92092
		57569
		55320
		10351
		9315
		93649
		5137
		84002
		54502
		285382
		53831
GSE46806 GSE55942	24	51309
		5806
		100033416
		101930404
		100033820
		8549
		894
		84168
		7980
		100033450
		290
		81553
		6638
		347746
		100033444
		100033433
		728392
		23331
		5334
		3653
		91380
		6645
		23208
		100033802
GSE115406 GSE46806	8	23037
		7052
		56099
		6492
		28984
		27445
		960
		56112
GSE115406 GSE55942	26	10960
		2330
		8013
		3500
		3170
		54463
		9086
		4589
		1188
		1805
		64067
		4112
		5818
		27328
		28396
		58189
		28442
		3507
		83259
		4915
		3688
		3493
		2638
		5396
		1571
		7223
GSE40349	443	65986
		4628
		898
		26053
		1031
		29089
		406948
		1363
		151230
		120892
		56992
		11169
		101927988
		5577
		4171
		23589
		25936
		79805
		55916
		63967
		57007
		11213
		54930
		5174
		5918
		7398
		157638
		58494
		834
		5473
		100528017
		6616
		84935
		57544
		23468
		1396
		728833
		729533
		5251
		4001
		2237
		80071
		399474
		10052
		3627
		27295
		64946
		4820
		79621
		2146
		1440
		3696
		83666
		5359
		3676
		55086
		51661
		117177
		84085
		874
		129607
		116496
		2752
		55215
		4173
		51435
		10635
		990
		55193
		3908
		142940
		195828
		8880
		58528
		6383
		2192
		55107
		256714
		114898
		145173
		80204
		283208
		100506797
		84140
		85415
		9615
		286527
		122773
		2820
		10733
		148534
		330
		55089
		54941
		121441
		6373
		5933
		2321
		5892
		55388
		54962
		64388
		101927279
		6502
		283484
		2200
		9536
		283464
		54332
		137075
		158158
		55601
		5982
		5557
		3087
		7298
		84250
		5994
		1116
		554282
		3178
		4973
		6240
		84708
