ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
4258	0.149	0.0000172	-10.0208835	2.86831	-1.09939676	PTTG2	pituitary tumor-transforming 2
2433	0.149	0.0000271	-9.3729712	2.57143	-1.13517343		
28474	0.149	0.0000373	8.935218	2.35158	3.02537359	XAF1	XIAP associated factor 1
2597	0.149	0.0000407	-8.8196876	2.29075	-1.66010508	CDKN3	cyclin dependent kinase inhibitor 3
22539	0.149	0.0000617	-8.2836493	1.99209	-2.11137485		
37144	0.149	0.0000629	-8.2586942	1.9775	-1.86584459	FAM64A	family with sequence similarity 64 member A
27313	0.149	0.0000665	-8.1899728	1.93699	-1.92674056	FAM64A	family with sequence similarity 64 member A
7074	0.149	0.0000667	-8.1855504	1.93436	-1.73342354	DLGAP5	DLG associated protein 5
33028	0.149	0.000068	8.1629753	1.92094	2.8858692	USP18	ubiquitin specific peptidase 18
17444	0.149	0.0000753	-8.0371858	1.84515	-1.54184053	CENPW	centromere protein W
12505	0.149	0.0000779	-7.995211	1.81949	-1.3394107	CKS1B	CDC28 protein kinase regulatory subunit 1B
17840	0.149	0.0000809	-7.949645	1.79142	-1.94552619	FAM64A	family with sequence similarity 64 member A
10448	0.149	0.0000877	-7.8521686	1.73061	-1.73040532	DEPDC1	DEP domain containing 1
38285	0.149	0.0000893	-7.8296157	1.71639	-1.82578294	FAM64A	family with sequence similarity 64 member A
3847	0.149	0.0000915	7.8014676	1.69857	2.97678894	IFI44	interferon induced protein 44
4672	0.149	0.0000926	-7.7862889	1.68892	-1.87424448	FAM64A	family with sequence similarity 64 member A
28138	0.149	0.0000927	-7.7851311	1.68818	-1.88879725	FAM64A	family with sequence similarity 64 member A
15534	0.149	0.0000957	-7.7469656	1.6638	-1.92463365	FAM64A	family with sequence similarity 64 member A
9639	0.149	0.000109	-7.5938197	1.56431	-0.87750917	ZWILCH	zwilch kinetochore protein
6973	0.149	0.0001112	-7.5711025	1.54933	-1.87013009	FAM64A	family with sequence similarity 64 member A
31336	0.149	0.0001125	7.5574025	1.54026	2.25319668	OAS1	2'-5'-oligoadenylate synthetase 1
20695	0.149	0.0001125	-7.5570322	1.54001	-1.96890072	FAM64A	family with sequence similarity 64 member A
2001	0.149	0.0001134	-7.547424	1.53364	-1.64388327	CDKN2C	cyclin dependent kinase inhibitor 2C
43021	0.149	0.0001136	-7.5461214	1.53278	-1.3378229	CKS1B	CDC28 protein kinase regulatory subunit 1B
45109	0.149	0.0001145	-7.5363037	1.52625	-0.75034177		
27397	0.149	0.0001171	-7.5107319	1.5092	-1.79041595	NUF2	NUF2, NDC80 kinetochore complex component
17302	0.149	0.0001205	7.477604	1.48701	3.29602767	IFI44L	interferon induced protein 44 like
11025	0.149	0.0001236	-7.4485982	1.46746	-1.81915392	CCNB1	cyclin B1
7512	0.149	0.0001245	-7.4394886	1.4613	-0.88289109		
19892	0.149	0.0001251	-7.4341061	1.45766	-1.88718216	FAM64A	family with sequence similarity 64 member A
12466	0.149	0.0001259	-7.4270018	1.45285	-0.93749211		
13026	0.149	0.0001303	7.3874045	1.4259	2.50316094	USP18	ubiquitin specific peptidase 18
24127	0.149	0.0001351	7.3463665	1.39778	3.03183637	XAF1	XIAP associated factor 1
26785	0.149	0.000147	7.2503621	1.33118	3.3923195	IFIT1	interferon induced protein with tetratricopeptide repeats 1
15948	0.149	0.0001575	-7.1732162	1.27684	-1.11199408	DEPDC1B	DEP domain containing 1B
22913	0.149	0.0001621	-7.1411819	1.25406	-1.70037174	CDK1	cyclin dependent kinase 1
17256	0.149	0.0001645	-7.1250069	1.24251	-1.61952483	FANCD2	Fanconi anemia complementation group D2
6646	0.149	0.000169	-7.094756	1.22081	-1.5993327	CDK1	cyclin dependent kinase 1
43582	0.149	0.000174	-7.0627354	1.19772	-1.55429308	CDK1	cyclin dependent kinase 1
4502	0.149	0.0001773	-7.0421047	1.18277	-1.5849868	CDK1	cyclin dependent kinase 1
36193	0.149	0.0001777	7.0394182	1.18082	3.58105481	OASL	2'-5'-oligoadenylate synthetase like
30426	0.149	0.0001792	-7.0304323	1.17429	-1.71217596	SPAG5	sperm associated antigen 5
1896	0.149	0.0001816	-7.0153536	1.16331	-1.20251971	CENPE	centromere protein E
32992	0.149	0.0001886	-6.9742585	1.13323	-1.56687233	CDK1	cyclin dependent kinase 1
22798	0.149	0.0002003	-6.9085244	1.08466	-1.86681843	HMMR	hyaluronan mediated motility receptor
34008	0.149	0.0002018	-6.9003395	1.07857	-1.9966205	BIRC5	baculoviral IAP repeat containing 5
39088	0.149	0.0002018	-6.9002887	1.07853	-1.23293255	NDC80	NDC80, kinetochore complex component
18518	0.149	0.0002026	6.8961715	1.07547	1.61807633	HIST2H2AA4	histone cluster 2, H2aa4
5233	0.149	0.0002072	-6.8721235	1.05752	-0.9157825		
24761	0.149	0.0002079	-6.8682016	1.05458	-1.64368708	CDK1	cyclin dependent kinase 1
14268	0.149	0.0002105	-6.8546877	1.04445	-1.9488216	CDCA8	cell division cycle associated 8
22942	0.149	0.0002111	6.8517887	1.04228	2.11381776	IRF7	interferon regulatory factor 7
1100	0.149	0.0002113	-6.8509211	1.04163	-1.18127846	CENPE	centromere protein E
30680	0.149	0.000212	-6.8468982	1.03861	-1.61245607	CDK1	cyclin dependent kinase 1
12834	0.149	0.0002157	6.828605	1.02484	2.27220624	IFIH1	interferon induced with helicase C domain 1
12747	0.149	0.0002166	-6.8239767	1.02135	-1.6388444	SKA3	spindle and kinetochore associated complex subunit 3
36067	0.149	0.0002196	-6.8092694	1.01024	-2.01132068	BIRC5	baculoviral IAP repeat containing 5
15797	0.149	0.0002221	-6.7971239	1.00104	-2.00666227	BIRC5	baculoviral IAP repeat containing 5
44378	0.149	0.0002224	6.7955768	0.99987	1.96736571	ISG15	ISG15 ubiquitin-like modifier
36615	0.149	0.0002239	6.7883118	0.99436	1.59898183	GADD45A	growth arrest and DNA damage inducible alpha
42420	0.149	0.0002269	6.7743275	0.98372	3.29362963	DDX58	DEXD/H-box helicase 58
8545	0.149	0.0002314	-6.7532546	0.96766	-1.84008352	CEP55	centrosomal protein 55
23428	0.149	0.0002319	-6.7508882	0.96585	-1.5445365	KIF18B	kinesin family member 18B
33234	0.149	0.000236	-6.7322361	0.95157	-1.95067321	BIRC5	baculoviral IAP repeat containing 5
38093	0.149	0.0002427	-6.702358	0.9286	-1.18157808	CENPE	centromere protein E
13606	0.149	0.0002445	6.694576	0.92259	1.46923622	SAMD9	sterile alpha motif domain containing 9
28938	0.149	0.0002449	-6.6930463	0.92141	-1.97034713	BIRC5	baculoviral IAP repeat containing 5
38758	0.149	0.0002478	-6.6805898	0.91178	-1.39558076	HMGB1	high mobility group box 1
32707	0.149	0.0002486	6.6772393	0.90919	1.21643085	HIPK3	homeodomain interacting protein kinase 3
30653	0.149	0.0002488	-6.676345	0.9085	-1.92987536	BIRC5	baculoviral IAP repeat containing 5
702	0.149	0.000254	-6.6544264	0.89149	-0.88559282	CCSAP	centriole, cilia and spindle associated protein
8432	0.149	0.0002602	-6.6292193	0.87185	-1.73471505	NEK2	NIMA related kinase 2
18984	0.149	0.0002667	6.6032412	0.85151	1.40624217	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
6249	0.149	0.0002686	-6.5957361	0.84562	-1.19668054	CENPE	centromere protein E
2213	0.149	0.000269	-6.5942649	0.84447	-1.56900865	CDK1	cyclin dependent kinase 1
40958	0.149	0.0002736	-6.5764268	0.83043	-1.60434546	CDK1	cyclin dependent kinase 1
22026	0.149	0.0002742	6.5742585	0.82872	2.02704808	PARP9	poly(ADP-ribose) polymerase family member 9
7136	0.149	0.0002773	-6.5621756	0.81918	-0.87557726	PTTG3P	pituitary tumor-transforming 3, pseudogene
21467	0.149	0.0002788	-6.556567	0.81474	-1.89903952	PBK	PDZ binding kinase
29056	0.149	0.0002794	-6.5542976	0.81295	-1.94366578	BIRC5	baculoviral IAP repeat containing 5
17956	0.149	0.0002797	-6.553213	0.81209	-1.32245103	CENPW	centromere protein W
972	0.149	0.0002858	-6.5309783	0.79445	-1.49542471	SPC25	SPC25, NDC80 kinetochore complex component
21277	0.149	0.0002872	-6.5258693	0.79039	-1.96917493	BIRC5	baculoviral IAP repeat containing 5
27318	0.149	0.000292	6.5085141	0.77657	2.40083184	SECISBP2L	SECIS binding protein 2 like
40847	0.149	0.0002998	-6.4811137	0.75465	-1.14329132	CENPE	centromere protein E
26102	0.149	0.0003045	-6.4652078	0.74188	-0.91238414	HIST1H4L	histone cluster 1, H4l
27867	0.149	0.0003069	-6.4570921	0.73535	-0.72586093	PIF1	PIF1 5'-to-3' DNA helicase
24392	0.149	0.0003085	-6.4515843	0.73092	-1.35179128		
41436	0.149	0.0003166	-6.4249843	0.70943	-1.13714284	CENPE	centromere protein E
9211	0.149	0.0003193	6.4164353	0.7025	2.00311767	IFI27	interferon alpha inducible protein 27
36773	0.149	0.0003224	6.4065129	0.69445	1.96880446	OAS3	2'-5'-oligoadenylate synthetase 3
29435	0.149	0.0003238	6.4020598	0.69083	0.75834426	ZBTB21	zinc finger and BTB domain containing 21
37175	0.149	0.0003261	-6.3946363	0.68479	-0.85722235	GPSM2	G-protein signaling modulator 2
3846	0.149	0.0003265	-6.3934054	0.68379	-1.89943423	ASPM	abnormal spindle microtubule assembly
14684	0.149	0.0003337	-6.3712583	0.66572	-1.22397699	CENPE	centromere protein E
16755	0.149	0.0003341	-6.3698739	0.66458	-1.77960752	CENPA	centromere protein A
17310	0.149	0.000335	-6.3672628	0.66245	-1.25088266	SKA1	spindle and kinetochore associated complex subunit 1
10068	0.149	0.0003423	-6.3450983	0.64428	-1.500797	SPC24	SPC24, NDC80 kinetochore complex component
298	0.149	0.0003433	-6.3422596	0.64195	-0.85549521	CENPN	centromere protein N
10389	0.149	0.0003448	-6.3377624	0.63825	-1.97495145	BIRC5	baculoviral IAP repeat containing 5
43517	0.149	0.0003485	-6.3271047	0.62948	-1.47207861	CDK1	cyclin dependent kinase 1
11288	0.149	0.000351	6.3198337	0.62349	1.91811341	IFI27	interferon alpha inducible protein 27
4361	0.149	0.0003538	6.3116913	0.61676	0.91974642		
10535	0.149	0.0003581	-6.2992778	0.6065	-0.84207995	DTYMK	deoxythymidylate kinase
27767	0.149	0.0003609	-6.291478	0.60004	-0.95318379	RTKN2	rhotekin 2
31255	0.154	0.000378	6.2447177	0.56111	2.88790472	MX1	MX dynamin like GTPase 1
39692	0.154	0.0003815	-6.2354934	0.55339	-1.21408666	KIF15	kinesin family member 15
1781	0.154	0.0003919	-6.2085344	0.53076	-0.79298119	POC1A	POC1 centriolar protein A
6759	0.154	0.0003932	-6.2052113	0.52796	-1.13643339	PARPBP	PARP1 binding protein
19779	0.154	0.0003936	-6.2042405	0.52715	-0.9894521	NAP1L1	nucleosome assembly protein 1 like 1
12189	0.154	0.0003968	-6.1961267	0.52031	-1.97338226	BIRC5	baculoviral IAP repeat containing 5
41394	0.154	0.0004036	-6.1790087	0.50585	-1.51654657	TMSB15A	thymosin beta 15a
